Fichier,Chanteur,Chanson
Scottish - A Scottish soldier.mp4,Scottish,A Scottish soldier
The Four Seasons - Walk Like A Man.mp4,The Four Seasons,Walk Like A Man
René la taupe - Mignon mignon.mp4,René la taupe,Mignon mignon
Céline Dion - Vole.mp4,Céline Dion,Vole
Nicole Croisille - Une femme avec toi.mp4,Nicole Croisille,Une femme avec toi
Julie London - I'm in the mood for love.mp4,Julie London,I'm in the mood for love
The Drifters - There Goes My Baby.mp4,The Drifters,There Goes My Baby
Shy'm - T'es parti.mp4,Shy'm,T'es parti
Tino Rossi - Ramona.mp4,Tino Rossi,Ramona
Véronique Sanson - Une nuit sur mon épaule.mp4,Véronique Sanson,Une nuit sur mon épaule
Lara Fabian - Comme ils disent.mp4,Lara Fabian,Comme ils disent
Johnny Hallyday - Ça ne change pas un homme.mp4,Johnny Hallyday,Ça ne change pas un homme
Vikki Carr -It must be him.mp4,Vikki Carr -It must be him.mp4,
Spanish - Just the way you are - Billy Joel.mp4,Just the way you are,Billy Joel
Tino Rossi - Un violon dans la nuit.mp4,Tino Rossi,Un violon dans la nuit
Richard Anthony - Ajanjuez mon amour.mp4,Richard Anthony,Ajanjuez mon amour
Jeanne Mas - Toute première fois.mp4,Jeanne Mas,Toute première fois
Christophe - Les paradis perdus.mp4,Christophe,Les paradis perdus
Salvatore Adamo - Que serai je sans toi.mp4,Salvatore Adamo,Que serai je sans toi
Gloria Estefan with Miami sound machine - Conga (vocals).mp4,Gloria Estefan with Miami sound machine,Conga (vocals)
Charles Aznavour - Tu t'laisses aller.mp4,Charles Aznavour,Tu t'laisses aller
Andy Gibb - Greatest Hits medley.mp4,Andy Gibb,Greatest Hits medley
Charles Aznavour - Les deux guitares.mp4,Charles Aznavour,Les deux guitares
Grease - 16 Greased Lightning -  (wvocals).mp4,16 Greased Lightning, (wvocals)
Les Chats Sauvages - Est ce que tu le sais .mp4,Les Chats Sauvages,Est ce que tu le sais 
Scottish - Flower of Scotland.mp4,Scottish,Flower of Scotland
Lorie - Je serai (ta meilleure amie).mp4,Lorie,Je serai (ta meilleure amie)
Amir - Longtemps.mp4,Amir,Longtemps
Frank Sinatra - The way you look tonight wvocals.mp4,Frank Sinatra,The way you look tonight wvocals
Bobby Picket - The monster mash.mp4,Bobby Picket,The monster mash
Rick Allison - Evidemment (avec Lara Fabian).mp4,Rick Allison,Evidemment (avec Lara Fabian)
Stromae - Tous les mêmes.mp4,Stromae,Tous les mêmes
Mort Shuman - Sorrow.mp4,Mort Shuman,Sorrow
France Gall - Les sucettes.mp4,France Gall,Les sucettes
Disney - L'air du vent.mp4,Disney,L'air du vent
Patriotic - You're A Grand Old Flag.mp4,Patriotic,You're A Grand Old Flag
Vigon Bamy Jay - Les moulins de mon coeur.mp4,Vigon Bamy Jay,Les moulins de mon coeur
"Grease - 22 Look At Me, I'm Sandra Dee (Reprise) -  (wvocals).mp4","22 Look At Me, I'm Sandra Dee (Reprise)", (wvocals)
Andy Gibb - I just want to be your everything.mp4,Andy Gibb,I just want to be your everything
Salvatore Adamo - Les collines de Rabiah.mp4,Salvatore Adamo,Les collines de Rabiah
Salvatore Adamo - J'avais oubliè que les roses sont roses.mp4,Salvatore Adamo,J'avais oubliè que les roses sont roses
Serge Reggiani - Ma fille.mp4,Serge Reggiani,Ma fille
Mike Brant - C'est ma prière.mp4,Mike Brant,C'est ma prière
K. Maro - Femme Like U.mp4,K. Maro,Femme Like U
Bee Gees - More than a woman.mp4,Bee Gees,More than a woman
Rokiczanka - Wyszłabym za dziada (Official Video).mp4,Rokiczanka,Wyszłabym za dziada (Official Video)
Claude François - J'attendrai.mp4,Claude François,J'attendrai
Michel Sardou - Tous les bateaux s'envolent.mp4,Michel Sardou,Tous les bateaux s'envolent
AEva Cassidy - Ain't No Sunshine (female version).mp4,AEva Cassidy,Ain't No Sunshine (female version)
Irish - (paddy oke) The Galway Shawl.mp4,Irish,(paddy oke) The Galway Shawl
Charles Aznavour-La boheme [karaoke].mp4,Charles Aznavour-La boheme [karaoke].mp4,
Slimane -  J'en suis là.mp4,Slimane, J'en suis là
Shake - Avec elle.mp4,Shake,Avec elle
Renaud - En cloque.mp4,Renaud,En cloque
Pierre Bachelet - Yéyé les tambours.mp4,Pierre Bachelet,Yéyé les tambours
Eric Carmen - All by myself.mp4,Eric Carmen,All by myself
PMV06-10 - Elton John & Leann Rimes - Written in the Stars.mkv,Elton John & Leann Rimes,Written in the Stars
Dionne Warwick & The Spinners - Then Came You (wvovals).mp4,Dionne Warwick & The Spinners,Then Came You (wvovals)
Fred Astaire - Puttin' on the Ritz SC.mp4,Fred Astaire,Puttin' on the Ritz SC
Elvis Presley - Crying in the chapel.mp4,Elvis Presley,Crying in the chapel
Serge Lama - Je suis malade.mp4,Serge Lama,Je suis malade
Mike Brant - Laisse-moi t'aimer.mp4,Mike Brant,Laisse-moi t'aimer
Alain Barrière - Ma vie.mp4,Alain Barrière,Ma vie
Chagrin d'amour - Chacun fait (c'qui lui plaît).mp4,Chagrin d'amour,Chacun fait (c'qui lui plaît)
Frank Sinatra - One for my baby.mp4,Frank Sinatra,One for my baby
Michèle Torr - Une petite française.mp4,Michèle Torr,Une petite française
Luis Mariano - Acapulco.mp4,Luis Mariano,Acapulco
Michel Fugain - Les Sud Américaines.mp4,Michel Fugain,Les Sud Américaines
OFKCAR002-11 - Carpenters - Ticket to Ride w~mpex.mkv,Carpenters,Ticket to Ride w~mpex
Frank Sinatra - The last dance wvocals.mp4,Frank Sinatra,The last dance wvocals
Johnny Hallyday - Entre mes mains.mp4,Johnny Hallyday,Entre mes mains
The Chi-Lites - I Found Sunshine.mp4,The Chi-Lites,I Found Sunshine
Soirée algérienne 2017 a paris Soirée algérienne 2017 a paris.mp4,Soirée algérienne 2017 a paris Soirée algérienne 2017 a paris.mp4,
Daniel Guichard - Je n'fais rien.mp4,Daniel Guichard,Je n'fais rien
DEK0536-13 - Everly Bros - Be Bop a Lu La.mkv,Everly Bros,Be Bop a Lu La
Serge Reggiani - Il suffirait de presque rien.mp4,Serge Reggiani,Il suffirait de presque rien
Zazie - J'envoie valser.mp4,Zazie,J'envoie valser
Sacha Distel - Scandale dans la famille.mp4,Sacha Distel,Scandale dans la famille
Emmanuel Moire - Toujous debout.mp4,Emmanuel Moire,Toujous debout
Karaoké Là-bas - Jean-Jacques Goldman _.mp4,Karaoké Là-bas,Jean-Jacques Goldman _
The Carpenters - I'm on top of the world.mp4,The Carpenters,I'm on top of the world
Serge Gainsbourg - Le poinçonneur des Lilas.mp4,Serge Gainsbourg,Le poinçonneur des Lilas
Lorie - Près de moi.mp4,Lorie,Près de moi
The Temptations - My girl.mp4,The Temptations,My girl
Charles Trenet - Mes jeunes années.mp4,Charles Trenet,Mes jeunes années
Serge Lama - Memorandum d'un puceau.mp4,Serge Lama,Memorandum d'un puceau
Lionel Richie - You Are.mp4,Lionel Richie,You Are
Johnny Hallyday - J'ai un problème (avec Sylvie Vartan).mp4,Johnny Hallyday,J'ai un problème (avec Sylvie Vartan)
Francis Cabrel - Il faudra leur dire.mp4,Francis Cabrel,Il faudra leur dire
Karaoké L'aventurier - Indochine _.mp4,Karaoké L'aventurier,Indochine _
Jean-Jacques Goldman   - Quand tu danses.mp4,Jean-Jacques Goldman  ,Quand tu danses
Tom Jones - I who have nothing.mp4,Tom Jones,I who have nothing
Nana Mouskouri - Plaisir d'amour.mp4,Nana Mouskouri,Plaisir d'amour
Liane Foly - Rêve orange.mp4,Liane Foly,Rêve orange
Serge Reggiani - Rue des rêves.mp4,Serge Reggiani,Rue des rêves
Peaches and Herb - Reunited.mp4,Peaches and Herb,Reunited
"Jeanne Mas - Johnny, Johnny.mp4",Jeanne Mas,"Johnny, Johnny"
"Hélène Ségara - On n'oublie jamais rien, on vit avec.mp4",Hélène Ségara,"On n'oublie jamais rien, on vit avec"
Johnny Hallyday - Quelques cris.mp4,Johnny Hallyday,Quelques cris
Gérard Lenorman - Voici les clés.mp4,Gérard Lenorman,Voici les clés
Gipsy Kings - Marina (Rene).mp4,Gipsy Kings,Marina (Rene)
John Lennon - Imagine.mp4,John Lennon,Imagine
DEK0536-07 - Everly Bros - Send Me the Pilow That You Dream On.mkv,Everly Bros,Send Me the Pilow That You Dream On
Englebert Humperdink - Gotta find me a place in the sun.mp4,Englebert Humperdink,Gotta find me a place in the sun
Johnny Hallyday - Elle m'oublie.mp4,Johnny Hallyday,Elle m'oublie
Dave - Du côté de chez Swann.mp4,Dave,Du côté de chez Swann
Shake - Quand on ne peut pas avoir la fille qu'on aime.mp4,Shake,Quand on ne peut pas avoir la fille qu'on aime
Gilbert Montagné - On va s'aimer.mp4,Gilbert Montagné,On va s'aimer
Carlos - Señor météo.mp4,Carlos,Señor météo
Eddy Mitchell - J'avais deux amis.mp4,Eddy Mitchell,J'avais deux amis
Indochine - Tes yeux noirs.mp4,Indochine,Tes yeux noirs
MPV16-12 - Westlife - When You're Looking Like That.mp4,Westlife,When You're Looking Like That
Chicago - If you leave me now.mp4,Chicago,If you leave me now
Christine And The Queens - Paradis perdus.mp4,Christine And The Queens,Paradis perdus
Michel Sardou - Et mourir de plaisir.mp4,Michel Sardou,Et mourir de plaisir
France Gall - Résiste.mp4,France Gall,Résiste
Axel Red - Sen sualité.mp4,Axel Red,Sen sualité
Lara Fabian - Immortelle.mp4,Lara Fabian,Immortelle
Serge Gainsbourg - Elisa.mp4,Serge Gainsbourg,Elisa
Earth Wind and fire - September.mp4,Earth Wind and fire,September
Traditional - (Canadian) Farewell to Nova Scotia.mp4,Traditional,(Canadian) Farewell to Nova Scotia
Barry White - Let the music play.mp4,Barry White,Let the music play
Felix Gray - E vado via.mp4,Felix Gray,E vado via
Sylvie Vartan - Je chante pour Swanee.mp4,Sylvie Vartan,Je chante pour Swanee
Dick Rivers - Tu n'es plus là.mp4,Dick Rivers,Tu n'es plus là
Yhe Five satins - In The Still Of The Night.mp4,Yhe Five satins,In The Still Of The Night
Billy Ocean - Suddenly.mp4,Billy Ocean,Suddenly
Hélène Segara - Tu vas me quitter.mp4,Hélène Segara,Tu vas me quitter
Sacha Distel - Un air de banjo.mp4,Sacha Distel,Un air de banjo
French - (Gilbert Becaud) Quand il Est Mort.mp4,French,(Gilbert Becaud) Quand il Est Mort
Serge Gainsbourg - La chanson de Prévert.mp4,Serge Gainsbourg,La chanson de Prévert
Burton Cummings -Break it to them gently.mp4,Burton Cummings -Break it to them gently.mp4,
Gospel - I need thee every hour wvocals.mp4,Gospel,I need thee every hour wvocals
Barbara Mandrell - Wish you were here wvocals.mp4,Barbara Mandrell,Wish you were here wvocals
Marty Robbins - My woman my woman my wife.mp4,Marty Robbins,My woman my woman my wife
Grease - 21 There Are Worse Things I Could Do -  (wvocals).mp4,21 There Are Worse Things I Could Do, (wvocals)
Kareen Antonn - Si demain (avec Bonnie Tyler).mp4,Kareen Antonn,Si demain (avec Bonnie Tyler)
Chimène Badi - Tellement beau.mp4,Chimène Badi,Tellement beau
Dalida - Comme disait Mistinguett.mp4,Dalida,Comme disait Mistinguett
Johnny Hallyday - Da Dou Ron Ron.mp4,Johnny Hallyday,Da Dou Ron Ron
AVCD003-12 - Tom Jones - I'm Coming Home.mkv,Tom Jones,I'm Coming Home
Nâdiya - Parle-moi.mp4,Nâdiya,Parle-moi
Irish - (paddy oke) Old Flames.mp4,Irish,(paddy oke) Old Flames
Jacques Higelin - La coisade des enfants.mp4,Jacques Higelin,La coisade des enfants
KARAOKE KENDJI GIRAC Tiago .mp4,KARAOKE KENDJI GIRAC Tiago .mp4,
Axel Bauer - Cargo.mp4,Axel Bauer,Cargo
"Sylvie Vartan - Par amour, par pitié.mp4",Sylvie Vartan,"Par amour, par pitié"
The Platters - Only You.mp4,The Platters,Only You
Barry Mainlow - Could It Be Magic.mp4,Barry Mainlow,Could It Be Magic
Olivia Newton John - If You Love Me (Let Me Know).mp4,Olivia Newton John,If You Love Me (Let Me Know)
Mylène Farmer - Pourvu qu'elles soient douces.mp4,Mylène Farmer,Pourvu qu'elles soient douces
Rika Zaraï - Alors je chante.mp4,Rika Zaraï,Alors je chante
Johnny Hallyday - La terre promise.mp4,Johnny Hallyday,La terre promise
Traditional - Unicorn.mp4,Traditional,Unicorn
"Tom Jones - Green, green grass of home.mp4",Tom Jones,"Green, green grass of home"
MPV16-04 - Afroman - Because I Got High.mp4,Afroman,Because I Got High
Bryan Adams - Have you ever really loved a woman.mp4,Bryan Adams,Have you ever really loved a woman
Etta James - At Last.mp4,Etta James,At Last
Mistinguett - Ca c'est Paris.mp4,Mistinguett,Ca c'est Paris
OFKCAR001-11 - Carpenters - Jambalaya w~mpex.mkv,Carpenters,Jambalaya w~mpex
Michel Sardou - Musica.mp4,Michel Sardou,Musica
Jacques Brel - Le moribond.mp4,Jacques Brel,Le moribond
Stone & Charden - L'aventura.mp4,Stone & Charden,L'aventura
Rockin' Around The Christmas Tree.mp4,Rockin' Around The Christmas Tree.mp4,
Francis Cabrel - Et j'irai trouver mieux.mp4,Francis Cabrel,Et j'irai trouver mieux
Joe Dassin - Cecilia.mp4,Joe Dassin,Cecilia
Frédéric François - L'amour s'en va l'amour reviens.mp4,Frédéric François,L'amour s'en va l'amour reviens
Serge Reggiani - Le barbier de Belleville.mp4,Serge Reggiani,Le barbier de Belleville
PMV04-13 - B'Witched - Rollercoaster.mp4,B'Witched,Rollercoaster
Scottish - I belong to Glasgow.mp4,Scottish,I belong to Glasgow
Daniel Boone - Beautiful sunday.mp4,Daniel Boone,Beautiful sunday
Natalie Cole - Miss you like crazy.mp4,Natalie Cole,Miss you like crazy
Herbert Léonard - Commencez sans moi.mp4,Herbert Léonard,Commencez sans moi
Mylène Farmer - Sans contrefaçon.mp4,Mylène Farmer,Sans contrefaçon
Sara Mandiano - J'ai des doutes.mp4,Sara Mandiano,J'ai des doutes
Les Chaussettes Noires - La leçon de twist.mp4,Les Chaussettes Noires,La leçon de twist
John Lennon - Imagine wvocal.mp4,John Lennon,Imagine wvocal
Yves Duteil - Prendre un enfant.mp4,Yves Duteil,Prendre un enfant
"Peter et Sloane - Besoin de rien, envie de toi.mp4",Peter et Sloane,"Besoin de rien, envie de toi"
Sylvie Vartan - Qu'est ce qui fait pleurer les blondes.mp4,Sylvie Vartan,Qu'est ce qui fait pleurer les blondes
Images - Corps à corps.mp4,Images,Corps à corps
Hélène Segara - Mrs Jones.mp4,Hélène Segara,Mrs Jones
JJ Lionel - La danse des canards.mp4,JJ Lionel,La danse des canards
Barry Manilow - Can't smile without you.mp4,Barry Manilow,Can't smile without you
Dario Moreno - Quand elle danse.mp4,Dario Moreno,Quand elle danse
Luc De Larochellière - Cash City.mp4,Luc De Larochellière,Cash City
France Gall - Tout pour la musique.mp4,France Gall,Tout pour la musique
Crystal Gale - Talking in your sleep.mp4,Crystal Gale,Talking in your sleep
Nana Mouskouri - Soleil Soleil.mp4,Nana Mouskouri,Soleil Soleil
Gilbert Bécaud - Et maintenant.mp4,Gilbert Bécaud,Et maintenant
Roméo & Juliette - Aimer.mp4,Roméo & Juliette,Aimer
Ray Charles - I Can't Stop Loving You.mp4,Ray Charles,I Can't Stop Loving You
La Compagnie Créole - Au bal masqué.mp4,La Compagnie Créole,Au bal masqué
Philippe Lavil - Hey Mister Lee .mp4,Philippe Lavil,Hey Mister Lee 
Diana Ross & The Supremes - You Keep Me Hanging On.mp4,Diana Ross & The Supremes,You Keep Me Hanging On
Nicole Croisille - Parlez moi de lui.mp4,Nicole Croisille,Parlez moi de lui
Vanessa Paradis - La Seine.mp4,Vanessa Paradis,La Seine
Céline Dion - J'irais où tu iras.mp4,Céline Dion,J'irais où tu iras
Teri Moïse - Les poèmes de Michelle.mp4,Teri Moïse,Les poèmes de Michelle
Frank Sinatra - Fly me to the moon wvocals.mp4,Frank Sinatra,Fly me to the moon wvocals
Eric Charden - L' été s'ra chaud.mp4,Eric Charden,L' été s'ra chaud
Charles Aznavour - La mama.mp4,Charles Aznavour,La mama
Michel Polnareff - Goodbye Marylou.mp4,Michel Polnareff,Goodbye Marylou
Lynda Lemay - Une mère.mp4,Lynda Lemay,Une mère
Showtunes - (Annie get your gun) An Old Fashioned Wedding.mp4,Showtunes,(Annie get your gun) An Old Fashioned Wedding
"Petula Clark - Hello, Dolly.mp4",Petula Clark,"Hello, Dolly"
Joey Dee & The Starlighters  - Peppermint Twist.mp4,Joey Dee & The Starlighters ,Peppermint Twist
Gérard De Palmas - J'en rêve encore.mp4,Gérard De Palmas,J'en rêve encore
Philippe Chatel - J'aime bien Lili.mp4,Philippe Chatel,J'aime bien Lili
Charlotte Church - Summertime wvocals.mp4,Charlotte Church,Summertime wvocals
Garou - Belle (Notre dame de Paris).mp4,Garou,Belle (Notre dame de Paris)
Patriotic - America the beautiful.mp4,Patriotic,America the beautiful
Renaud - La mère à Titi.mp4,Renaud,La mère à Titi
Gérard Lenorman - Michèle.mp4,Gérard Lenorman,Michèle
Musicals - (The Sound Of Music) The Hills are alive.mp4,Musicals,(The Sound Of Music) The Hills are alive
Hoshi Ta Marinière.mp4,Hoshi Ta Marinière.mp4,
Starmania - Besoin d'amour (choeurs) [BDFab].avi,Starmania,Besoin d'amour (choeurs) [BDFab]
Dean Martin - Return to me - English and  Italian vocals.mp4,Return to me,English and  Italian vocals
Gene Kelly - Singin' in the rain wvocal.mp4,Gene Kelly,Singin' in the rain wvocal
Mike Brant - Dis-lui.mp4,Mike Brant,Dis-lui
Joe Dassin - Ma bonne étoile.mp4,Joe Dassin,Ma bonne étoile
Nolwenn Leroy - Mon ange.mp4,Nolwenn Leroy,Mon ange
Johnny Hallyday - Elle est terrible.mp4,Johnny Hallyday,Elle est terrible
Connie Francis - Lipstick on your collar.mp4,Connie Francis,Lipstick on your collar
Celine Dion - When I need you wvocals.mp4,Celine Dion,When I need you wvocals
Emmanuel Moire - Beau malheur.mp4,Emmanuel Moire,Beau malheur
Joséphine Baker - J'ai deux amour (avec Adrien Lamy).mp4,Joséphine Baker,J'ai deux amour (avec Adrien Lamy)
Zanini - Tu veux ou tu veux pas.mp4,Zanini,Tu veux ou tu veux pas
Frank Sinatra - New York New York B.mp4,Frank Sinatra,New York New York B
Kansas - Dust in the wind wvocals.mp4,Kansas,Dust in the wind wvocals
Carly Simon - My foolish heart with female vocals.mp4,Carly Simon,My foolish heart with female vocals
Starmania - Le rêve de Stella Spotlight [BDFab].avi,Starmania,Le rêve de Stella Spotlight [BDFab]
Serge Lama - Superman.mp4,Serge Lama,Superman
"Johnny Rivers - Slow dancing, swaying to the music.mp4",Johnny Rivers,"Slow dancing, swaying to the music"
Barry White - Can't get enough of your love wvocals.mp4,Barry White,Can't get enough of your love wvocals
Sylvie Vartan - Nicolas.mp4,Sylvie Vartan,Nicolas
Céline Dion - S'il suffisait d'aimer.mp4,Céline Dion,S'il suffisait d'aimer
Jessi Coulter - I'm not Lisa.mp4,Jessi Coulter,I'm not Lisa
Charles Trenet - Y'a d'la joie.mp4,Charles Trenet,Y'a d'la joie
Olivia Ruiz - Mon corps mon amour.mp4,Olivia Ruiz,Mon corps mon amour
Laroche Valmont - T'as le look coco.mp4,Laroche Valmont,T'as le look coco
George Jones - He stopped loving her today.mp4,George Jones,He stopped loving her today
Mort Shuman - Le Lac Majeur.mp4,Mort Shuman,Le Lac Majeur
Serge Reggiani - Ma liberté.mp4,Serge Reggiani,Ma liberté
Charlotte Church - I wish I was in Carrickfergus wvocals.mp4,Charlotte Church,I wish I was in Carrickfergus wvocals
Traditional - Ain't she sweet - traditional.mp4,Ain't she sweet,traditional
Hervé Vilard - Méditérranéenne.mp4,Hervé Vilard,Méditérranéenne
Jean-Louis Aubert - Alter Ego.mp4,Jean-Louis Aubert,Alter Ego
Dalida - Tico Tico.mp4,Dalida,Tico Tico
Nuno Resende - J'suis p'tit.mp4,Nuno Resende,J'suis p'tit
Traditional - The Wedding song.mp4,Traditional,The Wedding song
Grease - 11 You're the One That I Want.mp4,Grease,11 You're the One That I Want
Rita Mitsouko - C'est comme ça.mp4,Rita Mitsouko,C'est comme ça
Frédéric Lerner - Plus là.mp4,Frédéric Lerner,Plus là
The Fleetwoods - Come softly to me.mp4,The Fleetwoods,Come softly to me
"The Four Tops - I Can't Help Myself (Sugar Pie, Honey Bunch).mp4",The Four Tops,"I Can't Help Myself (Sugar Pie, Honey Bunch)"
Salvatore Adamo - Petit bonheur.mp4,Salvatore Adamo,Petit bonheur
Nâdiya - Tous ces mots.mp4,Nâdiya,Tous ces mots
"German - Bier her, bier her.mp4",German,"Bier her, bier her"
Bobby Vinton - My melody of love.mp4,Bobby Vinton,My melody of love
Salvatore Adamo - Accroche une larme aux nuages.mp4,Salvatore Adamo,Accroche une larme aux nuages
Garou - Demande au soleil.mp4,Garou,Demande au soleil
Vera Lynn - Wartime Favourites Medley.mp4,Vera Lynn,Wartime Favourites Medley
Johnny Hallyday - Marie.mp4,Johnny Hallyday,Marie
Dean Martin - Arrivederci Roma wvocals.mp4,Dean Martin,Arrivederci Roma wvocals
Enrico Macias - Enfant de tous pays.mp4,Enrico Macias,Enfant de tous pays
Sheila - Tu sais.mp4,Sheila,Tu sais
Julien Clerc - Fais-moi une place.mp4,Julien Clerc,Fais-moi une place
Earth Wind and Fire - Boogie wonderland.mp4,Earth Wind and Fire,Boogie wonderland
Shy'm - Prendre l'air.mp4,Shy'm,Prendre l'air
Johnny Hallyday - Nadine.mp4,Johnny Hallyday,Nadine
Tikay - La vie en rose.mp4,Tikay,La vie en rose
Joe Dassin - Dans les yeux d'Emilie.mp4,Joe Dassin,Dans les yeux d'Emilie
AVCD003-13 - Tom Jones - Without Love.mkv,Tom Jones,Without Love
Stephan Eicher - Combien de temps.mp4,Stephan Eicher,Combien de temps
Jean-Jacques Goldman   - Il changeait la vie.mp4,Jean-Jacques Goldman  ,Il changeait la vie
Sylvie Vartan - L'amour c'est aimer la vie.mp4,Sylvie Vartan,L'amour c'est aimer la vie
Jonathan Cerrada - Je voulais te dire que je t attends.mp4,Jonathan Cerrada,Je voulais te dire que je t attends
Tony Bennett - I wanna be around wvocals.mp4,Tony Bennett,I wanna be around wvocals
Serge Reggiani - Le mensonge d'un père à son fils.mp4,Serge Reggiani,Le mensonge d'un père à son fils
Sheila - Bang bang.mp4,Sheila,Bang bang
Dario Moreno - Brigitte Bardot.mp4,Dario Moreno,Brigitte Bardot
La Compagnie Créole - Bons baisers de Fort de France.mp4,La Compagnie Créole,Bons baisers de Fort de France
Nicolas Peyrac - So Far Away From L.A..mp4,Nicolas Peyrac,So Far Away From L
Vanessa Paradis - Maxou.mp4,Vanessa Paradis,Maxou
Florent Pagny - Chanter.mp4,Florent Pagny,Chanter
Sinsemilia - Tout le bonheur du monde.mp4,Sinsemilia,Tout le bonheur du monde
C. Jérôme - Dernier baisé.mp4,C. Jérôme,Dernier baisé
Sylvie Vartan - L'amour c'est comme une cigarette.mp4,Sylvie Vartan,L'amour c'est comme une cigarette
Vera Lynn - Lili Marlene.mp4,Vera Lynn,Lili Marlene
The Little Mermaid - Sous l'océan.mp4,The Little Mermaid,Sous l'océan
Francis Cabrel - Sarbacane.mp4,Francis Cabrel,Sarbacane
Serge Reggiani - Petite fille aux yeux si grands.mp4,Serge Reggiani,Petite fille aux yeux si grands
Jacques Dutronc - Merde in France.mp4,Jacques Dutronc,Merde in France
Robert Charlebois - Lindberg.mp4,Robert Charlebois,Lindberg
The Mindbenders - Game of liove.mp4,The Mindbenders,Game of liove
Frank Sinatra  - I Only Have Eyes For You.mp4,Frank Sinatra ,I Only Have Eyes For You
Hall & Oates - Kiss On My List.mp4,Hall & Oates,Kiss On My List
Salvatore Adamo - Tu me reviens.mp4,Salvatore Adamo,Tu me reviens
Olivia Ruiz - J'envoie valser.mp4,Olivia Ruiz,J'envoie valser
Luis Mariano - La samba brésilienne.mp4,Luis Mariano,La samba brésilienne
Tino Rossi - Oh Corse île d'amour.mp4,Tino Rossi,Oh Corse île d'amour
The Impressions - It's Alright.mp4,The Impressions,It's Alright
AVCD003-09 - Tom Jones - Love Me Tonight.mkv,Tom Jones,Love Me Tonight
Michel Rivard - La complainte du phoque en Alaska.mp4,Michel Rivard,La complainte du phoque en Alaska
Lara Fabian - Quand je chante.mp4,Lara Fabian,Quand je chante
Salvatore Adamo - En blue jeans et blouson de cuir.mp4,Salvatore Adamo,En blue jeans et blouson de cuir
MPV16-07 - Usher - U Remind Me.mp4,Usher,U Remind Me
Amine - Señorita.mp4,Amine,Señorita
Grease - 23 You're the One That I Want -  (wvocals).mp4,23 You're the One That I Want, (wvocals)
Kenny Rogers - You picked a fine time to leave me Lucille.mp4,Kenny Rogers,You picked a fine time to leave me Lucille
Neil Sedaka - Laughter in the rain.mp4,Neil Sedaka,Laughter in the rain
Laurent Voulzy - Belle Île en mer.mp4,Laurent Voulzy,Belle Île en mer
Michèle Torr - J'en appelle à la tendresse.mp4,Michèle Torr,J'en appelle à la tendresse
Thierry Pastor - Le coup de folie.mp4,Thierry Pastor,Le coup de folie
Florent Pagny - Le présent d'abord.mp4,Florent Pagny,Le présent d'abord
"Joe Dassin - C'est la vie, Lily.mp4",Joe Dassin,"C'est la vie, Lily"
Del Shannon - Last Kiss (Where O where has my baby gone).mp4,Del Shannon,Last Kiss (Where O where has my baby gone)
Whitney Houston - I wanna dance with somebody who loves me wvocals.mp4,Whitney Houston,I wanna dance with somebody who loves me wvocals
Gérard Lenorman - Il (duo).mp4,Gérard Lenorman,Il (duo)
Showtunes - (Bye bye birdie) An English Teacher.mp4,Showtunes,(Bye bye birdie) An English Teacher
Michel Polnareff - Lettre à France.mp4,Michel Polnareff,Lettre à France
Michel Fugain - Une belle histoire.mp4,Michel Fugain,Une belle histoire
Right Time Of The Night.mp4,Right Time Of The Night.mp4,
Joe Dassin - Et si tu n'existais pas.mp4,Joe Dassin,Et si tu n'existais pas
Dolly Parton - Jolene.mp4,Dolly Parton,Jolene
Sylvie Vartan - La plus belle pour aller danser .mp4,Sylvie Vartan,La plus belle pour aller danser 
Traditional - My bonnie lies over the ocean.mp4,Traditional,My bonnie lies over the ocean
Faith Hill - Take me as I am wvocal.mp4,Faith Hill,Take me as I am wvocal
"Jacques Dutronc - Il est 5 heures, Paris s'éveille.mp4",Jacques Dutronc,"Il est 5 heures, Paris s'éveille"
Robert Cogoi - Doux doux doux doux.mp4,Robert Cogoi,Doux doux doux doux
Andy Williams - The impossible dream.mp4,Andy Williams,The impossible dream
Felix Leclerc - Bozo.mp4,Felix Leclerc,Bozo
Jacques Brel - Les flamades.mp4,Jacques Brel,Les flamades
Mort Shuman - Un été de porcelaine.mp4,Mort Shuman,Un été de porcelaine
Judy Garland - I've Got Rhythm.mp4,Judy Garland,I've Got Rhythm
Gérard Berliner - Louise.mp4,Gérard Berliner,Louise
Robert John -  Sad eyes.mp4,Robert John, Sad eyes
Dinah Washington - What a difference a day makes.mp4,Dinah Washington,What a difference a day makes
"Mike Brant - Toi, mon enfant.mp4",Mike Brant,"Toi, mon enfant"
Barbara Streisand with Donna Summer - No more tears (enough is enough).mp4,Barbara Streisand with Donna Summer,No more tears (enough is enough)
DEK0536-11 - Everly Bros - Lucille.mkv,Everly Bros,Lucille
Frank Sinatra - My funny valentine.mp4,Frank Sinatra,My funny valentine
Nâdiya - Comme un roc.mp4,Nâdiya,Comme un roc
Véronique Sanson - Y'a pas de doute il faut qu'j'y aille.mp4,Véronique Sanson,Y'a pas de doute il faut qu'j'y aille
"Isabelle Boulay - Je t'oublierai, je t'oublierai.mp4",Isabelle Boulay,"Je t'oublierai, je t'oublierai"
Musicals - (The Sound of Music) Edelweiss female vocals.mp4,Musicals,(The Sound of Music) Edelweiss female vocals
Kenny Rogers - She believes in me.mp4,Kenny Rogers,She believes in me
